epoch,train_loss,val_loss,val_ade_m,val_fde_m,lr,time_s
1,0.162686953941981,0.15547046065330505,0.29483357071876526,0.5556319952011108,0.0002991810233575568,0.35031700134277344
2,0.14553900063037872,0.14490434527397156,0.27109476923942566,0.5178810954093933,0.0002967330663097039,0.1487414836883545
3,0.1348262826601664,0.1354607194662094,0.250151127576828,0.48196619749069214,0.0002926829491861254,0.13597941398620605
4,0.1257739712794622,0.12650486826896667,0.22982415556907654,0.4425918459892273,0.00028707504591756876,0.1363670825958252
5,0.11667810628811519,0.11911599338054657,0.2120530754327774,0.4051859378814697,0.0002799707978657736,0.13647890090942383
6,0.10724183917045593,0.11275666952133179,0.19634737074375153,0.37057989835739136,0.0002714480406590546,0.13816547393798828
7,0.10257480293512344,0.10746795684099197,0.1822507530450821,0.33814743161201477,0.00026160015140887043,0.14492058753967285
8,0.09766435871521632,0.10253041982650757,0.16817015409469604,0.3074457049369812,0.0002505350256506493,0.13593149185180664
9,0.0941798413793246,0.09711579978466034,0.15358471870422363,0.27608415484428406,0.0002383738952177247,0.1368708610534668
10,0.0884778102238973,0.09284581243991852,0.1421697735786438,0.2517951726913452,0.00022524999999999995,0.14159703254699707
11,0.08629846821228664,0.08984233438968658,0.13375765085220337,0.23422789573669434,0.00021130712813983212,0.1360149383544922
12,0.08363958944876988,0.08674442023038864,0.1261880099773407,0.21890877187252045,0.0001966980406590546,0.1374506950378418
13,0.07876920451720555,0.0845683291554451,0.12019678950309753,0.20559166371822357,0.00018158279777725497,0.14047479629516602
14,0.08058532575766246,0.08240381628274918,0.1141638457775116,0.19357989728450775,0.00016612700525851418,0.1457655429840088
15,0.07929805914560954,0.0806707888841629,0.10941862314939499,0.18504375219345093,0.0001505,0.1336197853088379
16,0.0769477312763532,0.07937002182006836,0.10587149113416672,0.1785336434841156,0.00013487299474148582,0.13986706733703613
17,0.07593907167514165,0.07829497754573822,0.10298482328653336,0.17356984317302704,0.00011941720222274495,0.13399028778076172
18,0.07356923321882884,0.07699959725141525,0.10049916058778763,0.1688072383403778,0.00010430195934094535,0.13332295417785645
19,0.07334060966968536,0.07634103298187256,0.09922327846288681,0.16491498053073883,8.969287186016788e-05,0.13783693313598633
20,0.0714843620856603,0.07578447461128235,0.0984516590833664,0.16201555728912354,7.575000000000001e-05,0.13384294509887695
21,0.07010746995608012,0.07525011897087097,0.09800244122743607,0.15983831882476807,6.262610478227527e-05,0.13747859001159668
22,0.07056037336587906,0.07482750713825226,0.09769580513238907,0.1583307683467865,5.046497434935073e-05,0.13757848739624023
23,0.07082753131786983,0.0745355635881424,0.09771443158388138,0.1578129678964615,3.939984859112958e-05,0.13573479652404785
24,0.07007615764935811,0.07416529953479767,0.09760765731334686,0.1576450914144516,2.955195934094537e-05,0.1363542079925537
25,0.06922431786855061,0.07382509857416153,0.09718979150056839,0.15695060789585114,2.102920213422641e-05,0.14106202125549316
26,0.06850978980461757,0.07363683730363846,0.09679949283599854,0.15627717971801758,1.3924954082431153e-05,0.13612723350524902
27,0.06902168939510982,0.07352936267852783,0.09652653336524963,0.15583813190460205,8.317050813874547e-06,0.1385807991027832
28,0.06929004192352295,0.07346774637699127,0.09633523970842361,0.15549194812774658,4.266933690296049e-06,0.13615632057189941
29,0.06851974129676819,0.0734347552061081,0.09623044729232788,0.15529952943325043,1.8189766424431264e-06,0.13840436935424805
30,0.06852150211731593,0.0734158381819725,0.09618133306503296,0.1552198827266693,0.0003,0.13720417022705078
31,0.06824855754772823,0.07206915318965912,0.09065800160169601,0.14370261132717133,0.00029979511544580873,0.14777255058288574
32,0.06675182779630025,0.07076355814933777,0.08650414645671844,0.13274210691452026,0.0002991810233575568,0.13602781295776367
33,0.06615028654535611,0.07037611305713654,0.08686349540948868,0.13169868290424347,0.00029815940691897306,0.1363224983215332
34,0.06410739819208781,0.06881088018417358,0.08462106436491013,0.13000304996967316,0.0002967330663097039,0.13218259811401367
35,0.06384852528572083,0.06679212301969528,0.0813564658164978,0.12593872845172882,0.00029490591103021566,0.14047884941101074
36,0.059594119588534035,0.06499283015727997,0.07858258485794067,0.12013567239046097,0.0002926829491861254,0.13690495491027832
37,0.05881127839287122,0.063773974776268,0.07683093845844269,0.11223359405994415,0.0002900702737613316,0.13634419441223145
38,0.05871791889270147,0.06279589235782623,0.07400912046432495,0.10503469407558441,0.00028707504591756876,0.14230608940124512
39,0.059533607214689255,0.06132642179727554,0.07061631232500076,0.09907249361276627,0.00028370547536616097,0.143110990524292
40,0.055942279597123466,0.061017051339149475,0.06975919753313065,0.09673245996236801,0.0002799707978657736,0.13856029510498047
41,0.05532424400250117,0.06068248674273491,0.06765847653150558,0.0936594232916832,0.00027588124990784085,0.14035320281982422
42,0.05534435684482256,0.05920657515525818,0.0641874223947525,0.08771654218435287,0.0002714480406590546,0.13705706596374512
43,0.05372496818502744,0.05712461099028587,0.06019185110926628,0.07905518263578415,0.00026668332123781714,0.14169669151306152
44,0.05217773591478666,0.05585956946015358,0.059038084000349045,0.07569292187690735,0.00026160015140887043,0.13553595542907715
45,0.05237588038047155,0.055222027003765106,0.05630254000425339,0.06882678717374802,0.00025621246378738883,0.15289616584777832
46,0.0513176421324412,0.05466112866997719,0.056052066385746,0.07071821391582489,0.0002505350256506493,0.16644763946533203
